Year,Origin,Number
2002 ,Asia,9711428
2002 ,European,1694194
2002 ,NorthAmerica,309828
2002 ,Others,2011785
2003 ,Asia,7963928
2003 ,European,1507976
2003 ,NorthAmerica,258683
2003 ,Others,1856989
2004 ,Asia,10211904
2004 ,European,1666500
2004 ,NorthAmerica,372240
2004 ,Others,2085714
2005 ,Asia,11070870
2005 ,European,1703353
2005 ,NorthAmerica,389192
2005 ,Others,2200656
2006 ,Asia,12204667
2006 ,European,1781350
2006 ,NorthAmerica,408054
2006 ,Others,2283751
2007 ,Asia,13068107
2007 ,European,1787620
2007 ,NorthAmerica,403189
2007 ,Others,2380641
2008 ,Asia,13376272
2008 ,European,1997923
2008 ,NorthAmerica,342480
2008 ,Others,2468555
2009 ,Asia,13558685
2009 ,European,1852790
2009 ,NorthAmerica,258379
2009 ,Others,2356172
2010 ,Asia,15904966
2010 ,European,1866350
2010 ,NorthAmerica,294725
2010 ,Others,2420410
2011 ,Asia,17986525
2011 ,European,1961008
2011 ,NorthAmerica,308425
2011 ,Others,2522191
2012 ,Asia,19862701
2012 ,European,2094736
2012 ,NorthAmerica,337295
2012 ,Others,2761222
2013 ,Asia,21395701
2013 ,European,1974576
2013 ,NorthAmerica,314661
2013 ,Others,2815421
2014 ,Asia,21684837
2014 ,European,1935611
2014 ,NorthAmerica,246056
2014 ,Others,2802267
2015 ,Asia,22392735
2015 ,European,1935619
2015 ,NorthAmerica,249303
2015 ,Others,2913439
2016 ,Asia,23925562
2016 ,European,1938953
2016 ,NorthAmerica,273345
2016 ,Others,3065866
2017 ,Asia,25311447
2017 ,European,2115883
2017 ,NorthAmerica,354185
2017 ,Others,3178569
2018 ,Asia,26451534
2018 ,European,2459832
2018 ,NorthAmerica,429394
2018 ,Others,3333840
2019 ,Asia,27424647
2019 ,European,2579165
2019 ,NorthAmerica,508465
2019 ,Others,3589166
2020 ,Asia,4451550
2020 ,European,537053
2020 ,NorthAmerica,97517
2020 ,Others,724302
2021 ,Asia,959043
2021 ,European,251392
2021 ,NorthAmerica,59934
2021 ,Others,177468
2022 ,Asia,11535603
2022 ,European,1744224
2022 ,NorthAmerica,512839
2022 ,Others,2313657
